Season_Number,Startup_Name,Episode_Number,Pitch_Number,Season_Start,Season_End,Original_Air_Date,Episode_Title,Anchor,Industry,Business_Description,Company_Website,Started_in,Number_of_Presenters,Male_Presenters,Female_Presenters,Transgender_Presenters,Couple_Presenters,Pitchers_Average_Age,Pitchers_City,Pitchers_State,Yearly_Revenue(in_lakhs),Monthly_Sales(in_lakhs),Gross_Margin,Net_Margin,EBITDA,Cash_Burn,SKUs,Has_Patents,Bootstrapped,Original_Ask_Amount,Original_Offered_Equity(in_%),Valuation_Requested(in_lakhs),Received_Offer,Accepted_Offer,Total_Deal_Amount(in_lakhs),Total_Deal_Equity(%),Number_of_Sharks_in_Deal,Namita_Investment_Amount(in lakhs),Vineeta_Investment_Amount(in_lakhs),Anupam_Investment_Amount(in_lakhs),Aman_Investment_Amount(in_lakhs),Peyush_Investment_Amount((in_lakhs),Amit_Investment_Amount(in_lakhs),Ashneer_Investment_Amount,Namita_Present,Vineeta_Present,Anupam_Present,Aman_Present,Peyush_Present,Amit_Present,Ashneer_Present
1,Moonshine,22,71,2021-12-20,2022-02-04,2022-01-18,Turning0Ideas0Into0Businesses,Rannvijay0Singh,Food,Meads,https://www.moonshinemeadery.com/,2018,2,2,,,0,Middle,Mumbai,Maharashtra,372,,70,,,,,,,80,0.5,16000,Yes,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes
1,Falhari,22,72,2021-12-20,2022-02-04,2022-01-18,Turning0Ideas0Into0Businesses,Rannvijay0Singh,Food,Fresh0Fruits0salads,https://falhari.com/,2015,3,3,,,0,Middle,Gurgaon,Haryana,,1,25,,,,,,,50,2,2500,Yes,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes
1,NamhyaFoods,23,73,2021-12-20,2022-02-04,2022-01-19,Investing0In0Innovation,Rannvijay0Singh,Food,Ayurvedic0Enriched0Food,https://namhyafoods.com/,2019,1,,1,,0,Young,Jammu,Jammu0&0Kashmir,,16,,34,,,70,,,100,5,2000,Yes,Yes,50,10,1,,,,50,,,,,Yes,Yes,Yes,Yes,,Yes
1,UrbanMonkey,23,74,2021-12-20,2022-02-04,2022-01-19,Investing0In0Innovation,Rannvijay0Singh,Beauty/Fashion,Streetwear,https://www.urbanmonkey.com/,2014,1,1,,,0,Young,Mumbai,Maharashtra,2500,200,,25,,,,,,100,1,10000,Yes,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes
1,GuardianGears,23,75,2021-12-20,2022-02-04,2022-01-19,Investing0In0Innovation,Rannvijay0Singh,Manufacturing,Motorcycle0Luggage0bags,https://guardiangears.in/,2018,2,1,1,,1,Middle,Hyderabad,Telangana,250,21,50,15,,,,,,30,5,600,Yes,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes
1,ModernMyth,23,76,2021-12-20,2022-02-04,2022-01-19,Investing0In0Innovation,Rannvijay0Singh,Beauty/Fashion,Bags0Slings0Clutches0Handbags0Totes0Laptop0Bags0Travel0Essentials0Pouches0Trunks0&0Gifting,https://www.modernmyth.in/,2019,2,1,1,,0,Young,Delhi,Delhi,,14,,,,,140,,,75,5,1500,No,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes
1,TheSassBar,24,77,2021-12-20,2022-02-04,2022-01-20,A0Decade0Of0Indian0Entrepreneurship,Rannvijay0Singh,Beauty/Fashion,Gifts0Soaps,https://www.thesassbar.com/,2019,1,,1,,0,Young,Mumbai,Maharashtra,,7,65,55,,,,,,40,8,500,Yes,Yes,50,35,2,,,25,,,,,Yes,Yes,Yes,,Yes,,
1,KGAgrotech,24,78,2021-12-20,2022-02-04,2022-01-20,A0Decade0Of0Indian0Entrepreneurship,Rannvijay0Singh,Agriculture,Agricultural0Innovations,https://www.instagram.com/jugaadu_kamlesh/,2022,2,2,,,0,Young,Malegaon,Maharashtra,0,,,,,,,,,30,10,300,Yes,Yes,10,40,1,,,,,10,,,Yes,Yes,Yes,,Yes,,
1,NuskhaKitchen,24,79,2021-12-20,2022-02-04,2022-01-20,A0Decade0Of0Indian0Entrepreneurship,Rannvijay0Singh,Food,Homemade0after0delivery0Foods,https://nuskhakitchen.com/,2019,2,1,1,,0,Middle,Jaipur,Rajasthan,,1.45,,,,,,,,20,10,200,No,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,
1,PawsIndia,25,80,2021-12-20,2022-02-04,2022-01-21,An0Ocean0Of0Opportunities,Rannvijay0Singh,Animal/Pets,Dog0Products,https://pawsindia.com/,2016,1,,1,,0,Young,Mumbai,Maharashtra,300,20,,16,,,350,,,50,4,1250,Yes,Yes,50,15,1,,,50,,,,,Yes,Yes,Yes,,Yes,,
1,SunfoxTechnologies,25,81,2021-12-20,2022-02-04,2022-01-21,An0Ocean0Of0Opportunities,Rannvijay0Singh,Medical/Health,Portable0ECG0Device,https://www.sunfox.in/,2016,4,4,,,0,Young,Dehradun,Uttarakhand,120,5,,,,,,,,100,2,5000,Yes,Yes,100,6,5,20,20,20,,20,,,Yes,Yes,Yes,,Yes,,
1,Alpino,25,82,2021-12-20,2022-02-04,2022-01-21,An0Ocean0Of0Opportunities,Rannvijay0Singh,Food,Roasted0Peanut0butter0Products,https://alpino.store/,2016,4,4,,,0,Young,Surat,Gujarat,,,38,,,yes,,,,150,2,7500,Yes,No,,,,,,,,,,,Yes,Yes,Yes,,Yes,,
1,IsakFragrances,26,83,2021-12-20,2022-02-04,2022-01-24,Revolutionary0Ideas,Rannvijay0Singh,Beauty/Fashion,Perfumes0Fragrances,https://isakfragrances.com/,2016,1,,1,,0,Young,Lucknow,Uttar0Pradesh,,3.5,,,,,,,,50,8,625,Yes,Yes,50,50,1,,,,,50,,,Yes,Yes,Yes,,Yes,,
1,JulaaAutomation,26,84,2021-12-20,2022-02-04,2022-01-24,Revolutionary0Ideas,Rannvijay0Singh,Manufacturing,Automatic0Cradle,https://www.automaticjulaa.com/,2022,3,3,,,0,Middle,Ahmedabad,Gujarat,0,,,,,,,yes,,50,10,500,No,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,
1,RarePlanet,26,85,2021-12-20,2022-02-04,2022-01-24,Revolutionary0Ideas,Rannvijay0Singh,Manufacturing,Handicrafts,https://rareplanet.in/,2015,2,2,,,0,Middle,Kolkata,West0Bengal,,12,,10,,,6000,,,65,1,6500,Yes,Yes,65,3,1,65,,,,,,,Yes,Yes,Yes,,Yes,,
1,ThekaCoffee,27,86,2021-12-20,2022-02-04,2022-01-25,Investing0In0The0Future0Of0India,Rannvijay0Singh,Food,Coffee0Products,https://thekacoffee.com/,2018,1,1,,,0,Young,Gandhinagar,Gujarat,180,4,,,,,12,,,50,10,500,No,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,
1,WattTechnovations,27,87,2021-12-20,2022-02-04,2022-01-25,Investing0In0The0Future0Of0India,Rannvijay0Singh,Medical/Health,Ventilated0PPE0Kits,https://www.watttechnovations.com/,2020,1,1,,,0,Young,Pune,Maharashtra,,,,,,,,,,0.00101,2,0,Yes,Yes,0.00101,4,4,0.0002525,,0.0002525,,0.0002525,,,Yes,Yes,Yes,,Yes,,
1,AlisteTechnologies,27,88,2021-12-20,2022-02-04,2022-01-25,Investing0In0The0Future0Of0India,Rannvijay0Singh,Technology/Software,Automation0Solutions,https://www.alistetechnologies.com/,2020,6,6,,,0,Young,Noida,Uttar0Pradesh,63,7.5,,40,,,,,,60,5,1200,Yes,No,,,,,,,,,,,Yes,Yes,Yes,,Yes,,
1,InsuranceSamadhan,27,89,2021-12-20,2022-02-04,2022-01-25,Investing0In0The0Future0Of0India,Rannvijay0Singh,Services,Insurance0Solutions,https://www.insurancesamadhan.com/,2016,3,2,1,,0,Middle,Noida,Uttar0Pradesh,104,22,,,,,,,,100,1,10000,Yes,Yes,100,4,1,,,,,100,,,Yes,Yes,Yes,,Yes,,
1,HumpyA2,28,90,2021-12-20,2022-02-04,2022-01-26,Meeting0The0New0India0Minds,Rannvijay0Singh,Food,Organic0Milk0A20Products,https://humpyfarms.com/,2017,3,2,1,,0,Middle,Pune,Maharashtra,208,,44,,,,,,,75,4,1875,Yes,Yes,100,15,3,,33.33,,,33.33,,,Yes,Yes,Yes,,Yes,,
1,KunafaWorld,28,91,2021-12-20,2022-02-04,2022-01-26,Meeting0The0New0India0Minds,Rannvijay0Singh,Food,Kunafa0food0products,https://www.kunafaworld.com/,2018,2,1,1,,1,Young,Mangalore,Karnataka,200,30,,30,,,,,,90,5,1800,No,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,
1,GoldSafeSolutions,28,92,2021-12-20,2022-02-04,2022-01-26,Meeting0The0New0India0Minds,Rannvijay0Singh,Manufacturing,Anti-Suicidal0Fan0Rod,https://www.goldlife.co.in/,2017,2,2,,,0,Middle,Mumbai,Maharashtra,60,,25,,,,,,,50,5,1000,Yes,Yes,50,30,3,,16.66,,,16.66,,,Yes,Yes,Yes,,Yes,,
1,WakaoFoods,29,93,2021-12-20,2022-02-04,2022-01-27,Businesses0Of0Tomorrow,Rannvijay0Singh,Food,Jackfruit0Products,https://wakaofoods.com/,2021,1,1,,,0,Middle,Goa,Goa,72,6,,,,,,,,75,5,1500,Yes,Yes,75,21,3,25,25,,,,,,Yes,Yes,Yes,,Yes,,
1,PDDFalcon,29,94,2021-12-20,2022-02-04,2022-01-27,Businesses0Of0Tomorrow,Rannvijay0Singh,Manufacturing,Stainless0Steel0Items,https://falconproducts.co.in/,2018,2,1,1,,1,Young,Gandhinagar,Gujarat,242,,30,,,,300,,,75,3,2500,Yes,No,,,,,,,,,,,Yes,Yes,Yes,,Yes,,
1,PlayBoxTV,29,95,2021-12-20,2022-02-04,2022-01-27,Businesses0Of0Tomorrow,Rannvijay0Singh,Services,Streaming0Platform,https://playboxtv.in/,2017,2,2,,,0,Young,Mumbai,Maharashtra,1020,87,,,,,,,,100,3.5,2857,Yes,No,,,,,,,,,,,Yes,Yes,Yes,,Yes,,
1,Sippline,30,96,2021-12-20,2022-02-04,2022-01-28,Sharks0Ki0Expertise,Rannvijay0Singh,Manufacturing,Portable0Glass0Attachment0Drinking0Shields,https://www.sippline.com/,2019,1,1,,,0,Middle,Pune,Maharashtra,,,,,,,,,,75,15,500,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,KabaddiAdda,30,97,2021-12-20,2022-02-04,2022-01-28,Sharks0Ki0Expertise,Rannvijay0Singh,Sports,All-Kabaddi0App,https://www.kabaddiadda.com/,2019,2,2,,,0,Middle,Bangalore,Karnataka,250,,80,30,,,,,,80,1,8000,Yes,Yes,80,6,2,40,40,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,ShadesofSpring,30,98,2021-12-20,2022-02-04,2022-01-28,Sharks0Ki0Expertise,Rannvijay0Singh,Services,Flowers,https://shadesofspring.in/,2019,2,1,1,,1,Young,Bangalore,Karnataka,900,,30,,,,,,,300,1,30000,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,Scholify,30,99,2021-12-20,2022-02-04,2022-01-28,Sharks0Ki0Expertise,Rannvijay0Singh,Education,Scholarship0Platform,https://scholifyme.com/,2018,1,1,,,0,Middle,Bangalore,Karnataka,0,,,,,,,,,50,7.5,667,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,Scrapshala,31,100,2021-12-20,2022-02-04,2022-01-31,Entrepreneurship0Ki0Raah,Rannvijay0Singh,Manufacturing,Handmade0Reusable0Scrap0Materials,https://scrapshala.com/,2016,2,,2,,0,Middle,Varanasi,Uttar0Pradesh,27,2,,,,,,,,50,10,500,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,Sabjikothi,31,101,2021-12-20,2022-02-04,2022-01-31,Entrepreneurship0Ki0Raah,Rannvijay0Singh,Manufacturing,Vegetables0Storage0SaptKrishi,https://www.saptkrishi.com/,2019,2,1,1,,0,Young,Bhagalpur,Bihar,0,,,,,,,,,60,2.5,2400,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,AyuRythm,31,102,2021-12-20,2022-02-04,2022-01-31,Entrepreneurship0Ki0Raah,Rannvijay0Singh,Medical/Health,Ayurvedic0Wellness0App,https://www.ayurythm.com/home/,2016,3,3,,,0,Middle,Bangalore,Karnataka,,,,,,,,,,75,2,3750,Yes,Yes,75,2.68,1,,,,75,,,,Yes,Yes,Yes,Yes,,,Yes
1,Astrix,31,103,2021-12-20,2022-02-04,2022-01-31,Entrepreneurship0Ki0Raah,Rannvijay0Singh,Manufacturing,Smart0Locks0Qtouch,https://www.astrixengineering.com/,2021,2,1,1,,1,Middle,Coimbatore,Tamil0Nadu,75,18,,,,,,,,75,3,2500,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,TheaAndSid,32,104,2021-12-20,2022-02-04,2022-02-01,The0Road0To0Success,Rannvijay0Singh,Services,Proposal0Solutions,https://theaandsid.com/,2021,2,,2,,0,Middle,Mumbai,Maharashtra,16,10,75,30,,,,,,80,7,1143,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,ExperentialEtc,32,105,2021-12-20,2022-02-04,2022-02-01,The0Road0To0Success,Rannvijay0Singh,Technology/Software,Technology0layered0advertisement0services,https://www.experientialetc.com/,2017,2,2,,,0,Middle,Mumbai,Maharashtra,100,,,,,,,,,200,4,5000,Yes,No,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,GrowFitter,32,106,2021-12-20,2022-02-04,2022-02-01,The0Road0To0Success,Rannvijay0Singh,Technology/Software,Rewards0App,https://www.growfitter.com/,2021,2,2,,,0,Middle,Mumbai,Maharashtra,170,,,,,yes,,,,50,1,5000,Yes,Yes,50,2,1,,,,50,,,,Yes,,Yes,Yes,Yes,,Yes
1,C3Med-Tech,32,107,2021-12-20,2022-02-04,2022-02-01,The0Road0To0Success,Rannvijay0Singh,Medical/Health,Portable0ophthalmic0vision0devices,https://c3prototypes.com/,2019,2,1,1,,1,Middle,Ahmedabad,Gujarat,,,,,,,,,,35,6,583,Yes,No,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,ColourMeMad-CMM,33,108,2021-12-20,2022-02-04,2022-02-02,Life-Changing0Ideas,Rannvijay0Singh,Beauty/Fashion,Insoles,https://yourfootdoctor.in/,2017,2,1,1,,1,Middle,Mumbai,Maharashtra,,0.66,,,,,,,,40,10,400,Yes,Yes,40,25,1,40,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,Mavi's,33,109,2021-12-20,2022-02-04,2022-02-02,Life-Changing0Ideas,Rannvijay0Singh,Food,Vegan0Fermented0Food,https://mavispantry.com/,2018,2,1,1,,1,Middle,Thane,Maharashtra,,2,,,,,,,,40,5,800,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,TweekLabs,33,110,2021-12-20,2022-02-04,2022-02-02,Life-Changing0Ideas,Rannvijay0Singh,Sports,Sportswear,https://www.tweek-labs.com/,2019,4,4,,,0,Middle,Delhi,Delhi,,,,,,,,,,40,2,2000,Yes,Yes,60,10,3,,,20,,20,,20,Yes,,Yes,Yes,Yes,,Yes
1,Proxgy,33,111,2021-12-20,2022-02-04,2022-02-02,Life-Changing0Ideas,Rannvijay0Singh,Technology/Software,Virtual0Reality,https://www.proxgy.com/,2020,2,2,,,0,Middle,Delhi,Delhi,,,,,,,,,,35,1,3500,Yes,Yes,100,10,2,,,,,50,,50,Yes,,Yes,Yes,Yes,,Yes
1,NomadFoodProject,34,112,2021-12-20,2022-02-04,2022-02-03,Scaling0Ambitions,Rannvijay0Singh,Food,Bacon0Jams0Relishes,https://nomadfoodproject.com/,2019,2,2,,,0,Young,"Delhi,Pune","Delhi,Maharashtra",,3,70,,,,,,,40,10,400,Yes,Yes,40,20,4,10,10,,,,,10,Yes,Yes,Yes,Yes,Yes,,Yes
1,TweeInOne,34,113,2021-12-20,2022-02-04,2022-02-03,Scaling0Ambitions,Rannvijay0Singh,Beauty/Fashion,Reversible0and0convertible0clothing,https://tweeinone.com/,2017,1,,1,,0,Young,Mumbai,Maharashtra,,,,,,,,,,30,7.5,400,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes
1,GreenProtein,34,114,2021-12-20,2022-02-04,2022-02-03,Scaling0Ambitions,Rannvijay0Singh,Food,Plant-Based0Protein,https://greenprotein.co.in/,2019,2,1,1,,1,Middle,Mumbai,Maharashtra,,12,40,,,,,,,60,2,3000,Yes,No,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes
1,On2Cook,34,115,2021-12-20,2022-02-04,2022-02-03,Scaling0Ambitions,Rannvijay0Singh,Food,Fastest0Cooking0Device,https://on2cook.com/,2022,1,1,,,0,Middle,Ahmedabad,Gujarat,0,,,,,,,,,100,1,10000,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes
1,JainShikanji,35,116,2021-12-20,2022-02-04,2022-02-04,The0Final0Destination,Rannvijay0Singh,Food,Lemonade,https://jainshikanjimasala.com/,2017,1,1,,,0,Middle,Modinagar,Uttar0Pradesh,,2,,,,,,,,40,8,500,Yes,Yes,40,30,4,,10,10,10,,,10,Yes,Yes,Yes,Yes,Yes,,Yes
1,Woloo,35,117,2021-12-20,2022-02-04,2022-02-04,The0Final0Destination,Rannvijay0Singh,Technology/Software,Washroom0Finder,https://woloo.in/,2020,3,1,2,,0,Middle,Mumbai,Maharashtra,108,,,,,,,,,50,4,1250,Yes,No,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes
1,ElcareIndia,35,118,2021-12-20,2022-02-04,2022-02-04,The0Final0Destination,Rannvijay0Singh,Medical/Health,Carenting0for0Elders,https://elcare.co/,2021,3,2,1,,0,Middle,Mumbai,Maharashtra,60,,30,,,,,,,100,2.5,4000,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes
1,SneaKare,36,119,2021-12-20,2022-02-04,2022-02-04,Gateway0To0Shark0Tank0India,Rannvijay0Singh,Beauty/Fashion,Shoe0Sneaker0kits0storage0crates,https://sneakare.com/,2020,1,1,,,0,Young,Delhi,Delhi,,7,,,,,,,,20,5,400,Yes,Yes,21,12,3,7,7,,7,,,,Yes,Yes,,Yes,Yes,,
1,FrenchCrown,36,120,2021-12-20,2022-02-04,2022-02-04,Gateway0To0Shark0Tank0India,Rannvijay0Singh,Beauty/Fashion,Clothes,https://frenchcrown.in/,2017,2,2,,,0,Middle,Surat,Gujarat,7200,,70,,,,,,,150,0.33,45455,Yes,No,,,,,,,,,,,Yes,Yes,,Yes,Yes,,
1,StoreMyGoods,36,121,2021-12-20,2022-02-04,2022-02-04,Gateway0To0Shark0Tank0India,Rannvijay0Singh,Services,Storage0solutions,https://storemygoods.in/,2020,3,2,1,,1,Middle,Noida,Uttar0Pradesh,100,,,,,,,,,100,1.75,5714,Yes,Yes,50,4,2,25,,,,25,,,Yes,Yes,,Yes,Yes,,
1,Devnagri,36,122,2021-12-20,2022-02-04,2022-02-04,Gateway0To0Shark0Tank0India,Rannvijay0Singh,Technology/Software,Translation0of0language0content,https://devnagri.com/,2020,2,2,,,0,Middle,Delhi,Delhi,500,,,,,,,,,100,1,10000,Yes,No,,,,,,,,,,,Yes,Yes,,Yes,Yes,,
1,WitBlox,0,123,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Manufacturing,Kids0playing0equipment,https://witblox.com/,2020,2,1,1,,0,Middle,Mumbai,Maharashtra,,,,,,,,,,60,3,2000,Yes,Yes,60,10,2,,,,,30,,,,,,,Yes,,
1,Kineer,0,124,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Food,Packaged0drinking0water,https://www.kineerblessed.com/,2018,2,1,,1,0,Middle,Pune,Maharashtra,,2,,,,,,,,100,10,1000,No,,,,,,,,,,,,,,,,,,
1,PiChem,0,125,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Manufacturing,Chemical0products,http://www.pichem.in/,2021,1,1,,,0,Young,Lucknow,Uttar0Pradesh,,1.77,50,,,,,,,40,5,800,No,,,,,,,,,,,,,,,,,,
1,Clensta,0,126,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Beauty/Fashion,Waterless0bathing0technology0products,https://clensta.com/,2017,1,1,,,0,Middle,Delhi,Delhi,,150,,,,,,,,100,1,10000,No,,,,,,,,,,,,,,,,,,
1,InfinitiInsects,0,127,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Animal/Pets,Live0insect0feed0for0pets,https://infiniti-insects.business.site/,2016,2,1,1,,,Middle,Bangalore,Karnataka,,0.5,,,,,,,,25,10,250,No,,,,,,,,,,,,,,,,,,
1,AshwaPro,0,128,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Services,Outdoor0cycling0gym,https://ashwa.pro/,2020,1,1,,,0,Middle,Jaipur,Rajasthan,,,,,,,,,,50,10,500,No,,,,,,,,,,,,,,,,,,
1,Mine4Nine,0,129,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Beauty/Fashion,Trendy0maternity0dresses,https://mine4nine.in/,2019,2,1,1,,1,Middle,Gurgaon,Haryana,260,,,,,,,,,75,4,1875,No,,,,,,,,,,,,,,,,,,
1,StudioBeej,0,130,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Beauty/Fashion,Sustainable0leather0accessories,https://studiobeej.com/,2020,1,,1,,0,Middle,Mumbai,Maharashtra,112,,,,,,,,,75,7.5,1000,No,,,,,,,,,,,,,,,,,,
1,Sattuz,0,131,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Liquor/Beverages,Foods0Beverages0super0food,https://sattuz.in/,2018,2,1,1,,1,Middle,Madhubani,Bihar,25,,,,,,,,,25,5,500,No,,,,,,,,,,,,,,,,,,
1,Scintiglo,0,132,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Medical/Health,Diagnostic0device0for0microalbuminuria0estimation,https://cemd.in/,2021,1,1,,,0,Middle,Indore,Madhya0Pradesh,0,,,,,,,,,75,1,7500,Yes,No,,,,,,,,,,,,,,,,,
1,Glii,0,133,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Services,Dating0app0for0LGBTQ,https://www.glii.in/,2021,4,3,,1,0,Middle,Noida,Uttar0Pradesh,,,,,,,,,,40,4,1000,No,,,,,,,,,,,,,,,,,,
1,StanleeIndia,0,134,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Electronics,Televisions,https://www.stanleeindia.com/,2019,3,3,,,0,Middle,Delhi,Delhi,,,,,,,,,,60,3,2000,No,,,,,,,,,,,,,,,,,,
1,SpaceKidzIndia,0,135,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Manufacturing,Small0Satellites0by0kids,https://www.spacekidzindia.in/,2016,2,1,1,,0,Middle,Chennai,Tamil0Nadu,,,,,,,,,,100,2,5000,No,,,,,,,,,,,,,,,,,,
1,UrbanNaps,0,136,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Services,Smart0Napping0Pod,https://urbannaps.com/,2018,2,2,,,0,Young,Ahmedabad,Gujarat,,,,,,,,,,50,4,1250,Yes,No,,,,,,,,,,,,,,,,,
1,Gizmoswala,0,137,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Entertainment,Sex0toys0and0games,https://www.gizmoswala.com/,2020,3,2,1,,0,Middle,Mumbai,Maharashtra,,7,40,,,,,,,75,5,1500,No,,,,,,,,,,,,,,,,,,
1,ZyppElectric,0,138,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Vehicles/Electrical0Vehicles,Electrical0Vehicles,https://zypp.app/,2017,2,1,1,,1,Young,Gurgaon,Haryana,,,,,,yes,,,,220,1,22000,No,,,,,,,,,,,,,,,,,,
1,Picsniff,0,139,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Technology/Software,Face0recognition0based0image0sharing,https://algomage.com/algoshare,2021,1,1,,,0,Young,Mumbai,Maharashtra,,,,,,,,,,55,1,5500,Yes,No,,,,,,,,,,,,,,,,,
1,Deciwood,0,140,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Electronics,Portable0wooden0Bluetooth0speakers,https://deciwood.com/,2019,2,2,,,0,Young,Delhi,Delhi,,,,,,,,,,50,3.5,1429,No,,,,,,,,,,,,,,,,,,
1,HappyBar,0,141,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Food,FitSport0delicious0snacks,https://www.fitsport.me/,2019,3,2,1,,0,Middle,Hyderabad,Telangana,,29,,,,yes,,,,60,2,3000,No,,,,,,,,,,,,,,,,,,
1,Tathastulive,0,142,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Services,"Offer0Daan,0Puja0and0Yajna",https://www.temple.biz/,2020,3,2,1,,1,Middle,Ahmedabad,Gujarat,,,,,,,,,,50,10,500,No,,,,,,,,,,,,,,,,,,
1,BandsandCups,0,143,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Beauty/Fashion,Bra0fitting0service,https://www.bandsandcups.com/,2021,1,,1,,0,Middle,Chennai,Tamil0Nadu,,1,60,,,,,,,40,10,400,No,,,,,,,,,,,,,,,,,,
1,MyWealthProtector,0,144,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Services,Beyond0Life0Service,https://mywealthprotector.com/,2019,2,2,,,0,Middle,Mumbai,Maharashtra,,2,,,,,,,,50,2.5,2000,No,,,,,,,,,,,,,,,,,,
1,TheIris,0,145,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Manufacturing,Pocket0Microscopes,https://www.theiris.co.in/,2019,2,1,1,,,Young,Bangalore,Karnataka,,,,,,,,,,10,15,67,No,,,,,,,,,,,,,,,,,,
1,Canebot,0,146,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Food,Juice0making0machine,,2012,2,1,1,,1,Middle,Pune,Maharashtra,200,,,,,,,yes,,100,2.5,4000,No,,,,,,,,,,,,,,,,,,
1,OyeDelhiOye,0,147,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Food,Delhi0Ke0Chole0Kulche,,2021,2,2,,,0,Middle,Delhi,Delhi,,,,,,,,,,35,10,350,No,,,,,,,,,,,,,,,,,,
1,InaliAssistiveTech,0,148,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Medical/Health,Prosthetics,https://inalifoundation.com/,2020,2,2,,,0,Young,Pune,Maharashtra,,,,,,,,,,50,5,1000,No,,,,,,,,,,,,,,,,,,
1,Meera'sCelebrations,0,149,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Services,Wedding0ceremonial0items,https://www.facebook.com/meeracelebrations/,2010,2,1,1,,1,Middle,Ludhiana,Punjab,,,,,,,,,,50,25,200,No,,,,,,,,,,,,,,,,,,
1,Artment,0,150,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Furnishing/Household,Exquisite0pieces0of0home0decor,https://theartment.com/,2019,2,1,1,,0,Young,Gurgaon,Haryana,,100,,,,,,,,170,2.5,6800,Yes,No,,,,,,,,,,,,,,,,,
1,Powertree,0,151,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Manufacturing,Beautiful0efficient0solar0panels,https://powertree.co.in/,2018,2,2,,,0,Middle,Gandhinagar,Gujarat,,,,,,,,,,150,2.5,6000,No,,,,,,,,,,,,,,,,,,
1,Eume,0,152,2021-12-20,2022-02-04,,Unseen,Rannvijay0Singh,Beauty/Fashion,Massager0Backpack,https://eumeworld.com/,2018,3,2,1,,1,Middle,Mumbai,Maharashtra,1200,,,,,,,,,150,2,7500,Yes,No,,,,,,,,,,,,,,,,,
